"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Canada","2020","All Commodities","Import","405204944782.261","","No Quantity",""
"Canada","2020","All Commodities","Export","388173391425.202","","No Quantity",""
"Canada","2019","All Commodities","Import","453630813647.827","","No Quantity",""
"Canada","2019","All Commodities","Export","445492736489.356","","No Quantity",""
"Canada","2018","All Commodities","Export","450392396468.983","","No Quantity",""
"Canada","2018","All Commodities","Import","459945043260.697","","No Quantity",""
"Canada","2017","All Commodities","Export","420074382189.806","","No Quantity",""
"Canada","2017","All Commodities","Import","433045052733.088","","No Quantity",""
"Canada","2016","All Commodities","Import","402287821924.144","","No Quantity",""
"Canada","2016","All Commodities","Export","388853141939.71","","No Quantity",""
"Canada","2015","All Commodities","Import","419374729376.088","","No Quantity",""
"Canada","2015","All Commodities","Export","408697323603.511","","No Quantity",""
"Canada","2014","All Commodities","Import","463088976833","","No Quantity",""
"Canada","2014","All Commodities","Export","475177176344","","No Quantity",""
"Canada","2013","All Commodities","Export","456598271021","","No Quantity",""
"Canada","2013","All Commodities","Import","461785073454","","No Quantity",""
"Canada","2012","All Commodities","Export","454098967492","","No Quantity",""
"Canada","2012","All Commodities","Import","462366181402","","No Quantity",""
"Canada","2011","All Commodities","Import","450579509089","","No Quantity",""
"Canada","2011","All Commodities","Export","450430007647","","No Quantity",""
"China","2020","All Commodities","Export","2589098353298","","No Quantity",""
"China","2020","All Commodities","Import","2069567864872","","No Quantity",""
"China","2019","All Commodities","Import","2079285499197","","No Quantity",""
"China","2019","All Commodities","Export","2499206993866","","No Quantity",""
"China","2018","All Commodities","Export","2486439719803","","No Quantity",""
"China","2018","All Commodities","Import","2133605397056","","No Quantity",""
"China","2017","All Commodities","Import","1843792938795","","No Quantity",""
"China","2017","All Commodities","Export","2263370504301","","No Quantity",""
"China","2016","All Commodities","Import","1587920688162","","No Quantity",""
"China","2016","All Commodities","Export","2097637171895","","No Quantity",""
"China","2015","All Commodities","Import","1679564324560","","No Quantity",""
"China","2015","All Commodities","Export","2273468224113","","No Quantity",""
"China","2014","All Commodities","Export","2342292696320","","No Quantity",""
"China","2014","All Commodities","Import","1959234625162","","No Quantity",""
"China","2013","All Commodities","Export","2209007280259","","No Quantity",""
"China","2013","All Commodities","Import","1949992314705","","No Quantity",""
"China","2012","All Commodities","Export","2048782233084","","No Quantity",""
"China","2012","All Commodities","Import","1818199227571","","No Quantity",""
"China","2011","All Commodities","Export","1898388434783","","No Quantity",""
"China","2011","All Commodities","Import","1743394866363","","No Quantity",""
"India","2020","All Commodities","Export","275488744927.546","","No Quantity",""
"India","2020","All Commodities","Import","367980363479.684","","No Quantity",""
"India","2019","All Commodities","Export","323250726424.72","","No Quantity",""
"India","2019","All Commodities","Import","478883729111.406","","No Quantity",""
"India","2018","All Commodities","Export","322492099897.02","","No Quantity",""
"India","2018","All Commodities","Import","507615733027.083","","No Quantity",""
"India","2017","All Commodities","Import","444052353836.283","","No Quantity",""
"India","2017","All Commodities","Export","294364490162.589","","No Quantity",""
"India","2016","All Commodities","Import","356704792107","","No Quantity",""
"India","2016","All Commodities","Export","260326912335","","No Quantity",""
"India","2015","All Commodities","Export","264381003631","","No Quantity",""
"India","2015","All Commodities","Import","390744731405","","No Quantity",""
"India","2014","All Commodities","Export","317544642257","","No Quantity",""
"India","2014","All Commodities","Import","459369463603","","No Quantity",""
"India","2013","All Commodities","Export","336611388774","","No Quantity",""
"India","2013","All Commodities","Import","466045567333","","No Quantity",""
"India","2012","All Commodities","Export","289564769447","","No Quantity",""
"India","2012","All Commodities","Import","488976378496","","No Quantity",""
"India","2011","All Commodities","Export","301483250168","","No Quantity",""
"India","2011","All Commodities","Import","462402790771","","No Quantity",""
"Russian Federation","2020","All Commodities","Export","337103969643.061","","No Quantity",""
"Russian Federation","2020","All Commodities","Import","231664185422.99","","No Quantity",""
"Russian Federation","2019","All Commodities","Import","247161342900.21","","No Quantity",""
"Russian Federation","2019","All Commodities","Export","426720332660.17","","No Quantity",""
"Russian Federation","2018","All Commodities","Export","451494828173.17","","No Quantity",""
"Russian Federation","2018","All Commodities","Import","240225755863.79","","No Quantity",""
"Russian Federation","2017","All Commodities","Import","259966680280.2","","No Quantity",""
"Russian Federation","2017","All Commodities","Export","379206606018.61","","No Quantity",""
"Russian Federation","2016","All Commodities","Export","301780443386.44","","No Quantity",""
"Russian Federation","2016","All Commodities","Import","207440504392.6","","No Quantity",""
"Russian Federation","2015","All Commodities","Export","343907651828","","No Quantity",""
"Russian Federation","2015","All Commodities","Import","182781964814","","No Quantity",""
"Russian Federation","2014","All Commodities","Export","497833528848","","No Quantity",""
"Russian Federation","2014","All Commodities","Import","286648776878","","No Quantity",""
"Russian Federation","2013","All Commodities","Export","527265918851","","No Quantity",""
"Russian Federation","2013","All Commodities","Import","314945094987","","No Quantity",""
"Russian Federation","2012","All Commodities","Export","524766420613","","No Quantity",""
"Russian Federation","2012","All Commodities","Import","316192918041","","No Quantity",""
"Russian Federation","2011","All Commodities","Export","516992618221","","No Quantity",""
"Russian Federation","2011","All Commodities","Import","306091490306","","No Quantity",""
"USA","2020","All Commodities","Import","2405381557667","","No Quantity",""
"USA","2020","All Commodities","Export","1430253623489","","No Quantity",""
"USA","2019","All Commodities","Export","1644276220783","","No Quantity",""
"USA","2019","All Commodities","Import","2567492197103","","No Quantity",""
"USA","2018","All Commodities","Export","1665302936591","","No Quantity",""
"USA","2018","All Commodities","Import","2611432490157","","No Quantity",""
"USA","2017","All Commodities","Import","2405276626657","","No Quantity",""
"USA","2017","All Commodities","Export","1545809598154","","No Quantity",""
"USA","2016","All Commodities","Import","2247167254438","","No Quantity",""
"USA","2016","All Commodities","Export","1450906272956","","No Quantity",""
"USA","2015","All Commodities","Export","1501845863839","","No Quantity",""
"USA","2015","All Commodities","Import","2313424569327","","No Quantity",""
"USA","2014","All Commodities","Import","2410855476207","","No Quantity",""
"USA","2014","All Commodities","Export","1619742863865","","No Quantity",""
"USA","2013","All Commodities","Import","2326590208528","","No Quantity",""
"USA","2013","All Commodities","Export","1577587252487","","No Quantity",""
"USA","2012","All Commodities","Import","2334677716383","","No Quantity",""
"USA","2012","All Commodities","Export","1544932014357","","No Quantity",""
"USA","2011","All Commodities","Import","2263619062869","","No Quantity",""
"USA","2011","All Commodities","Export","1481682201761","","No Quantity",""

